division	Hubei	50.0
division	Jiangxi	1.0
division	Chongqing	1.0
division	Sichuan	1.0
division	Yunnan	1.0
division	Jiangsu	1.0
division	Zhejiang	1.0
division	Guangdong	1.0
division	Taiwan	1.0
division	Nonthaburi	1.0
division	Aichi	1.0
division	Tokyo	1.0
division	Kyoto	1.0
division	Gyeonggi	1.0
division	Singapore	1.0
division	Thanh Hoa	1.0
division	Queensland	1.0
division	New South Wales	1.0
division	Victoria	1.0
division	Ile De France	1.0
division	Flanders	1.0
division	Bavaria	1.0
division	England	1.0
division	Lapland	1.0
division	Washington	1.0
division	California	1.0
division	Arizona	1.0
division	Illinois	1.0
division	Wisconsin	1.0
division	Massachusetts	1.0
